usage,date
152,2021-08-24
153,2021-08-25
153,2021-08-26
200,2021-08-27
203,2021-08-28
150,2021-08-29
152,2021-08-30
151,2021-08-31
148,2021-09-01
151,2021-09-02
198,2021-09-03
199,2021-09-04
148,2021-09-05
153,2021-09-06
152,2021-09-07
152,2021-09-08
153,2021-09-09
201,2021-09-10
203,2021-09-11
151,2021-09-12
148,2021-09-13
149,2021-09-14
149,2021-09-15
150,2021-09-16
200,2021-09-17
203,2021-09-18
151,2021-09-19
149,2021-09-20
151,2021-09-21
151,2021-09-22
150,2021-09-23
199,2021-09-24
201,2021-09-25
151,2021-09-26
150,2021-09-27
151,2021-09-28
151,2021-09-29
151,2021-09-30
200,2021-10-01
202,2021-10-02
150,2021-10-03
148,2021-10-04
150,2021-10-05
152,2021-10-06
151,2021-10-07
200,2021-10-08
202,2021-10-09
149,2021-10-10
153,2021-10-11
152,2021-10-12
150,2021-10-13
151,2021-10-14
200,2021-10-15
200,2021-10-16
150,2021-10-17
149,2021-10-18
149,2021-10-19
149,2021-10-20
152,2021-10-21
199,2021-10-22
199,2021-10-23
153,2021-10-24
152,2021-10-25
152,2021-10-26
153,2021-10-27
151,2021-10-28
200,2021-10-29
201,2021-10-30
152,2021-10-31
149,2021-11-01
149,2021-11-02
153,2021-11-03
149,2021-11-04
199,2021-11-05
203,2021-11-06
151,2021-11-07
153,2021-11-08
152,2021-11-09
153,2021-11-10
153,2021-11-11
198,2021-11-12
198,2021-11-13
153,2021-11-14
152,2021-11-15
150,2021-11-16
149,2021-11-17
149,2021-11-18
203,2021-11-19
202,2021-11-20
152,2021-11-21
153,2021-11-22
150,2021-11-23
152,2021-11-24
150,2021-11-25
199,2021-11-26
200,2021-11-27
148,2021-11-28
149,2021-11-29
152,2021-11-30
153,2021-12-01
152,2021-12-02
199,2021-12-03
200,2021-12-04
153,2021-12-05
152,2021-12-06
150,2021-12-07
151,2021-12-08
150,2021-12-09
198,2021-12-10
200,2021-12-11
151,2021-12-12
152,2021-12-13
150,2021-12-14
153,2021-12-15
152,2021-12-16
199,2021-12-17
203,2021-12-18
148,2021-12-19
153,2021-12-20
152,2021-12-21
149,2021-12-22
151,2021-12-23
202,2021-12-24
200,2021-12-25
149,2021-12-26
150,2021-12-27
151,2021-12-28
153,2021-12-29
150,2021-12-30
199,2021-12-31
199,2022-01-01
148,2022-01-02
149,2022-01-03
150,2022-01-04
153,2022-01-05
150,2022-01-06
198,2022-01-07
203,2022-01-08
153,2022-01-09
153,2022-01-10
149,2022-01-11
150,2022-01-12
152,2022-01-13
203,2022-01-14
198,2022-01-15
153,2022-01-16
153,2022-01-17
149,2022-01-18
149,2022-01-19
152,2022-01-20
201,2022-01-21
203,2022-01-22
149,2022-01-23
149,2022-01-24
149,2022-01-25
153,2022-01-26
153,2022-01-27
200,2022-01-28
199,2022-01-29
153,2022-01-30
149,2022-01-31
148,2022-02-01
152,2022-02-02
151,2022-02-03
201,2022-02-04
198,2022-02-05
148,2022-02-06
149,2022-02-07
150,2022-02-08
153,2022-02-09
150,2022-02-10
200,2022-02-11
203,2022-02-12
148,2022-02-13
149,2022-02-14
153,2022-02-15
150,2022-02-16
152,2022-02-17
200,2022-02-18
198,2022-02-19
148,2022-02-20
153,2022-02-21
148,2022-02-22
148,2022-02-23
152,2022-02-24
202,2022-02-25
200,2022-02-26
151,2022-02-27
148,2022-02-28
149,2022-03-01
150,2022-03-02
153,2022-03-03
200,2022-03-04
201,2022-03-05
149,2022-03-06
150,2022-03-07
148,2022-03-08
151,2022-03-09
148,2022-03-10
201,2022-03-11
200,2022-03-12
153,2022-03-13
148,2022-03-14
150,2022-03-15
153,2022-03-16
153,2022-03-17
201,2022-03-18
203,2022-03-19
148,2022-03-20
148,2022-03-21
